Date	Pollster	SDP	PS	KOK	KESK	VIHR	VAS	RKP	KD	LIIK	SIN	Others
7.4.2019	Kantar TNS	19.5	15	17.5	14.4	12	9.6	4.4	4.1		1.1	2.4
3.4.2019	Tietoykkönen	19.6	13.4	17	14.7	13.3	9.1	3.9	4.1		2	2.9
9.4.2019	Taloustutkimus	19	16.3	15.9	14.5	12.2	8.7	4.9	4.3		0.8	3.4
26.3.2019	Taloustutkimus	20.1	15.1	15.8	14.4	13	9.8	4.3	3.5		0.9	3.1
15.3.2019	Kantar TNS	21	11.1	18.1	14.3	14	8.9	4.4	4.2		1.2	2.8
5.3.2019	Taloustutkimus	21.3	13.3	16.2	14.1	13.7	8.9	4.7	3.5		1.8	2.5
3.3.2019	Tietoykkönen	21.3	11.2	18.1	14.1	13.2	9	4.1	4.1		2.3	2.6
14.2.2019	Kantar TNS	20.8	11.4	18.6	14.7	13.6	8.7	4.3	4		1	2.9
5.2.2019	Taloustutkimus	20.1	12	17.3	15.6	14.6	8.6	4	3.6		1.4	2.7
28.1.2019	Tietoykkönen	21	9.9	19.7	14.4	13	8.9	4.2	4.3		2.1	2.5
11.1.2019	Kantar TNS	20.9	9.7	19.5	15.6	12.9	9.4	4.3	4		1.1	2.6
8.1.2019	Taloustutkimus	21.2	10.2	19.6	16.1	13.6	9.5	2.5	4.2		1	2.1
18.12.2018	Tietoykkönen	20.7	9.7	19.6	15.5	12.9	9.1	4.1	3.9		1.8	2.7
12.12.2018	Kantar TNS	21.4	8.6	19.4	15.6	13.4	9.6	4.4	4.1		1.2	2.3
4.12.2018	Taloustutkimus	21.5	8.1	19.1	17	13.9	8.5	4	4.1		1.5	2.3
23.11.2018	Tietoykkönen	21.4	8.4	19.8	15.1	13.6	9.3	4.5	3.7		2.2	2
12.11.2018	Kantar TNS	22.4	8.7	19.7	15.4	12.5	9.7	4.4	4		1.2	2
6.11.2018	Taloustutkimus	22.7	9.8	20.2	16.5	11.3	9.2	4.3	3.5		1.1	1.4
30.10.2018	Tietoykkönen	22	7.7	19.9	15.2	12.9	9.5	4.2	3.8		2.3	2.5
11.10.2018	Kantar TNS	22	9.1	19.6	15.7	12	9.8	4.4	3.8		1.4	2.2
2.10.2018	Taloustutkimus	22.6	9.3	18.9	17.6	11.6	9.8	3.7	4.1		1.1	1.3
27.9.2018	Tietoykkönen	22.2	7.9	19.9	15.1	12.3	9.5	4.3	3.9		2.5	2.4
15.9.2018	Kantar TNS	21.4	8.7	19.7	15.5	12.9	9.6	4.5	3.9		1.6	2.2
4.9.2018	Taloustutkimus	20.3	9.4	19	17.8	12.6	9.1	4.3	3.5		1.6	2.4
25.8.2018	Tietoykkönen	21.9	8	19.8	15.5	13.1	9.1	4.2	3.7		2.1	2.6
16.8.2018	Kantar TNS	21.7	7.9	20.2	15.5	13.7	9.6	4.3	4.1		1.2	2
7.8.2018	Taloustutkimus	21.2	8.7	19.8	17.8	13.6	7.7	4.3	3.8		0.8	2.3
12.7.2018	Kantar TNS	22.1	7.8	20.2	15.3	13.2	9.6	4.3	4.2		1.3	2
3.7.2018	Taloustutkimus	20.3	10.3	19.7	16.6	13.9	8.6	3.3	3.6		1.1	2.6
26.6.2018	Tietoykkönen	20.2	7.8	19.7	15.9	13.9	9.4	4.6	3.9		2.6	2
10.6.2018	Kantar TNS	21.6	8	19.7	15.8	13.5	9.2	4.5	3.9		1.7	2.1
5.6.2018	Taloustutkimus	20	8.3	19.3	17.6	14.4	8.9	3.9	3.4		1.7	2.5
31.5.2018	Tietoykkönen	21.2	7.9	19.5	15.1	13.1	9	4.8	4.3		2.5	2.6
11.5.2018	Kantar TNS	21.2	7.7	20.5	15.7	14.2	8.7	4.4	3.8		1.7	2.1
2.5.2018	Tietoykkönen	21.8	8	19.5	15.9	13.2	8.7	4.6	4		2.1	2.2
26.4.2018	Taloustutkimus	20	8.5	20.2	17	14.9	9.1	3.7	3.3		1.5	1.8
12.4.2018	Kantar TNS	21.4	8.1	20.6	15.7	14	8.9	4.2	3.5		1.6	2
27.3.2018	Taloustutkimus	20.2	9.2	21.5	16.3	14.2	9	3.5	3.3		1.5	1.3
26.3.2018	Tietoykkönen	21	8.2	19.9	16.1	13.3	8.7	4.4	3.9		2	2.5
15.3.2018	Kantar TNS	20.8	8.5	21.1	15.9	14.5	8.5	4.1	3.2		1.4	2
26.2.2018	Tietoykkönen	19.6	8.7	20.5	15.5	13.6	8.8	4.8	3.9		2.3	2.3
15.2.2018	Kantar TNS	19	8.6	21.7	16.3	14.4	9.1	4.2	3.4		1.3	2
6.2.2018	Taloustutkimus	18.7	9.6	20.8	17.4	14	8.1	4.6	3.2		1.6	2
28.2.2018	Taloustutkimus	21	8.5	20	17	14.5	8.9	2.9	3.3		1.6	2.3
29.1.2018	Tietoykkönen	19.2	8.2	20.9	15.4	14.5	8.6	4.6	3.9		2.7	2
18.1.2018	Kantar TNS	19	8.1	21.9	15.6	15.5	8.8	4.4	3.4		1.5	1.8
27.12.2017	Taloustutkimus	17.8	8.6	19.8	17.8	14	8.8	4.6	4		2.3	2.3
18.12.2017	Tietoykkönen	20.1	7.8	20.8	16.2	13.7	9	4.8	4.1		1.8	1.7
10.12.2017	Kantar TNS	19	8	22.2	14.8	15.4	9.3	4.4	3.3		1.6	2
28.11.2017	Taloustutkimus	19.7	8.4	22.3	17.4	14.2	8	3.5	3.6		1.1	1.8
13.11.2017	Kantar TNS	19	8.7	21.4	15.1	15.7	8.8	4.4	3.3		1.6	2
31.10.2017	Taloustutkimus	18.4	6.9	22.8	17.4	14	9	4.9	3.4		1.3	1.9
14.10.2017	Kantar TNS	18.1	9.3	21.9	15.4	16.1	8.2	4.4	3.3		1.3	2
3.10.2017	Taloustutkimus	17.3	9.9	21.7	15.8	16.6	8.3	3.5	3.9		1.5	1.5
19.9.2017	Kantar TNS	17.8	9.2	21.1	16.1	16.7	7.9	4.5	3.2		1.3	2.2
5.9.2017	Taloustutkimus	15.6	10.3	20.8	16.2	17.8	8.2	4.5	3.3		1.4	1.9
15.8.2017	Taloustutkimus	15.9	8.8	20.8	17.3	17.6	7.7	4.8	3.7		1.6	1.8
18.8.2017	Kantar TNS	17.3	7	20.7	17.3	17.5	8.4	4.5	3.5		1.7	2.1
18.7.2017	Taloustutkimus	18.5	8.1	20.4	16.7	16	9.2	4.7	3.9		0.7	1.8
14.7.2017	Kantar TNS	19.6	6.3	21	16.4	15.5	8.9	4.4	3.3		2.5	2.1
20.6.2017	Taloustutkimus	17.1	9.7	21.3	17	15.1	8	4	3.7		2.3	1.8
16.6.2017	Kantar TNS	19	6.1	21.2	16.8	14.9	8.6	4.3	3.3		3.9	1.9
13.6.2017	Tietoykkönen	17.8	10.4	20.2	17	14.1	9.1	5.5	4.2			1.7
6.6.2017	Taloustutkimus	17.7	9	20.5	18.4	15.1	8.8	4.8	3.7			2
19.5.2017	Kantar TNS	18.7	9.4	20.6	17.7	14.3	8.6	4.6	3.7			2.4
9.5.2017	Taloustutkimus	18.6	9.6	21.1	18.4	14.6	7.7	4.5	3.6			1.9
11.2.2017	Kantar TNS	21.6	9.1	18.4	19.8	11.1	9.1	4.8	3.5			2.6
11.1.2017	Kantar TNS	21.7	8.6	18.7	19.9	12.1	8.5	4.4	3.6			2.5
8.12.2016	Kantar TNS	20.8	9.9	18.4	20.8	11.2	8.2	4.6	3.5			2.6
29.11.2016	Taloustutkimus	21.1	8.5	18.9	20.4	12.6	8.6	4	3.6			2.3
11.11.2016	Kantar TNS	20.4	10.1	18.6	20.9	11.6	7.9	4.6	3.5			2.4
1.11.2016	Taloustutkimus	21.2	8.5	18.8	19.6	13.6	8.7	4	3.4			2.2
14.10.2016	Kantar TNS	21.3	9.7	17.7	20.9	11.8	7.9	4.7	3.5			2.4
4.10.2016	Taloustutkimus	20.5	9.2	17.1	20.5	14	8.8	4.3	3.8			1.8
15.9.2016	Kantar TNS	20.2	9.6	17.9	20.9	12.6	8.6	4.6	3.3			2.3
6.9.2016	Taloustutkimus	20	8.4	17.7	20.7	13.6	9.3	4.7	3.6			2
18.8.2016	Kantar TNS	19.1	9.5	17.3	20.6	12.9	9.6	4.8	3.7			2.5
9.8.2016	Taloustutkimus	18.9	7.6	17.6	21.8	13.7	9.8	4.3	4.3			2
15.7.2016	Kantar TNS	18.7	9.5	17.8	21.1	13.3	9	4.9	3.4			2.3
5.7.2016	Taloustutkimus	18.2	8.6	18.6	21.1	14.1	9.2	4.3	3.6			2.3
16.6.2016	Kantar TNS	20.6	9.1	17	20.9	13.6	8.2	4.7	3.7			2.2
7.6.2016	Taloustutkimus	20.1	9	17.7	20.2	14.8	8.3	4.2	3.5			2.2
14.5.2016	Kantar TNS	22	9.3	17.7	20.7	11.4	9	4.3	3.4			2.2
3.5.2016	Taloustutkimus	21.5	8.5	17	20.4	13.5	8.5	4.5	3.6			2.5
11.4.2016	Kantar TNS	21.7	9.7	17.1	20.6	11.7	8.7	4.4	3.7			2.4
30.3.2016	Taloustutkimus	20.3	9.5	17.1	21.7	12.5	8.3	4.7	3.6			2.3
11.3.2016	Kantar TNS	21.4	10.2	17.4	21.5	10.9	8.3	4.5	3.5			2.3
1.3.2016	Taloustutkimus	22.9	9	16.9	20.7	10.7	8.9	4.5	3.9			2.5
14.2.2016	Kantar TNS	21.2	9.9	18	21.4	10.8	8.5	4.3	3.7			2.2
2.2.2016	Taloustutkimus	21.5	9.8	17.3	20.9	12.3	8.6	4.1	3.4			2.1
14.1.2016	Kantar TNS	22.8	9.6	17.9	19.7	11.1	7.9	4.5	4.2			2.3
29.12.2015	Taloustutkimus	22.7	8.9	18.7	21.4	11.7	7.3	3.9	3.4			2
10.12.2015	Kantar TNS	21.1	10.8	17.7	20.9	11.3	8.4	4.3	3.5			2
1.12.2015	Taloustutkimus	21	8.9	18.3	21.6	12.6	8.1	4.6	3.5			1.4
12.11.2015	Kantar TNS	19.6	11	18.4	21.6	11.6	8	4.3	3.5			2
3.11.2015	Taloustutkimus	20.7	9.8	18.3	21.7	12.2	7.4	4.4	3.4			2.1
16.10.2015	Kantar TNS	18.3	11.4	17.7	22.2	11.5	8.6	4.4	3.9			2
6.10.2015	Taloustutkimus	18.3	10.7	18	21.7	12.7	8.3	4.8	4			1.5
10.9.2015	Kantar TNS	15	15.6	18	22.3	11.1	7.8	4.8	3.5			1.9
1.9.2015	Taloustutkimus	14.4	15	18.9	23	12.4	7.6	4.2	2.9			1.6
7.8.2015	Kantar TNS	14.2	16.7	17.6	23.2	11.4	7.2	4.7	3.1			1.9
4.8.2015	Taloustutkimus	14.5	15.6	18.2	23.1	12.7	7.8	3.9	2.7			1.5
9.7.2015	Kantar TNS	14.7	17.6	18.2	21.9	9.8	7.9	4.5	3.3			2.1
1.7.2015	Taloustutkimus	14.6	15.6	17.3	22.7	11.5	8.4	4.5	3.4			2
11.6.2015	Kantar TNS	14.8	18	18.5	21	10	7.8	4.5	3.2			2.2
2.6.2015	Taloustutkimus	15	17.5	16.7	23.1	10.5	7.5	4.5	3.1			2.1
15.5.2015	Kantar TNS	15.1	19.2	18	21.1	9.3	6.8	4.6	3.4			2.5
